A1_0,A1_1,A4_0,A4_1,A5_0,A5_1,A6_0,A6_1,A6_2,A6_3,A7_0,A7_1,A7_2,A7_3,A9_0,A9_1,A10_0,A10_1,A12_0,A12_1,A13_0,A13_1,A2,A3,A8,A11,A14,A15,Class
0,1,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0.26002786399727035,-0.3911414105824954,-0.24438879691338805,-0.30259629057059406,0.1286816500231175,-0.19312477497136735,1
1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,1,0,1,2.0529632624314633,-0.24820957688919335,-0.11854018376184923,0.7045157264660926,-0.8168020154605861,-0.086442960383854,1
1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,1,0,0,1,0,1,-1.5676842986306891,-0.3895390357653059,-0.3217259334869594,-0.5040186939779314,0.5925038255434248,-0.03615010493545485,1
0,1,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0,1,1,0,0,1,0.06682361847634442,-0.3417882662130593,-0.06862257742799863,0.5030933230587553,-0.4778550410418999,-0.19255326525036282,1
0,1,0,1,0,1,0,0,0,1,0,0,0,1,0,1,1,0,0,1,1,0,-0.42649122175375315,1.411530258755675,-0.2120478125280764,-0.5040186939779314,-0.3589262780879749,-0.19312477497136735,1
0,1,0,1,0,1,0,0,1,1,0,0,0,1,0,1,1,0,1,0,0,1,0.34052963296432287,-0.3898595107287438,-0.3146952847075438,-0.5040186939779314,1.0682188773591248,-0.19312477497136735,1
0,1,0,1,0,1,0,1,0,0,0,0,1,0,0,1,1,0,1,0,0,1,0.4107271755035926,-0.35781201438495414,-0.2865726895898815,-0.5040186939779314,-0.09728299958933997,5.766769098904266,1
1,0,0,1,0,1,0,1,0,1,0,0,0,1,0,1,1,0,0,1,0,1,-0.2493873300262377,3.321561040845541,-0.3294596471443165,-0.5040186939779314,-0.5967838039958249,0.06386409624033891,1
0,1,1,0,1,0,0,1,1,0,0,0,1,0,0,1,1,0,0,1,0,1,1.7792572479434847,-0.3895390357653059,-0.05385821499122592,-0.5040186939779314,-0.0021399892261999894,-0.13330675750622592,1
0,1,1,0,1,0,0,0,0,1,0,0,0,1,0,1,1,0,1,0,0,1,-1.4517617513181336,1.1839930347147682,1.8929284320289472,-0.5040186939779314,-0.7632840721313199,0.08158089759147952,1
0,1,0,1,0,1,0,1,1,1,0,0,1,0,1,0,1,0,1,0,0,1,-0.303484518772097,-0.36454198861715,1.1898635540873894,-0.5040186939779314,-0.31135477290640495,-0.19312477497136735,1
